Number of species	8
Number of genes	317085
Number of genes in orthogroups	314321
Number of unassigned genes	2764
Percentage of genes in orthogroups	99.1
Percentage of unassigned genes	0.9
Number of orthogroups	40737
Number of species-specific orthogroups	127
Number of genes in species-specific orthogroups	728
Percentage of genes in species-specific orthogroups	0.2
Mean orthogroup size	7.7
Median orthogroup size	8.0
G50 (assigned genes)	8
G50 (all genes)	8
O50 (assigned genes)	15433
O50 (all genes)	15606
Number of orthogroups with all species present	27119
Number of single-copy orthogroups	23842
Date	2026-07-20
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	12506	30.7	54771	17.4
'1	26131	64.1	214963	68.4
'2	1588	3.9	26659	8.5
'3	277	0.7	7091	2.3
'4	105	0.3	3552	1.1
'5	47	0.1	1973	0.6
'6	33	0.1	1666	0.5
'7	12	0.0	691	0.2
'8	16	0.0	1073	0.3
'9	9	0.0	677	0.2
'10	7	0.0	579	0.2
11-15	5	0.0	475	0.2
16-20	1	0.0	151	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	127
2	2596
3	2475
4	1935
5	2052
6	1878
7	2555
8	27119
