	Augustus on AGIS1.0_ Protein sequence	Augustus on BSM_ Protein sequence	Augustus on CI_ Protein sequence	Augustus on GJ_ Protein sequence	Augustus on IN_ Protein sequence	Augustus on KM_ Protein sequence	Augustus on MPE_ Protein sequence	Augustus on PP_ Protein sequence
Number of genes	39737	39604	39496	39178	39787	40150	39453	39680
Number of genes in orthogroups	39251	39250	39171	38852	39427	39789	39150	39431
Number of unassigned genes	486	354	325	326	360	361	303	249
Percentage of genes in orthogroups	98.8	99.1	99.2	99.2	99.1	99.1	99.2	99.4
Percentage of unassigned genes	1.2	0.9	0.8	0.8	0.9	0.9	0.8	0.6
Number of orthogroups containing species	34381	34576	34494	34303	34795	34909	34541	34850
Percentage of orthogroups containing species	84.4	84.9	84.7	84.2	85.4	85.7	84.8	85.5
Number of species-specific orthogroups	19	12	13	17	14	24	20	8
Number of genes in species-specific orthogroups	72	54	138	70	96	148	105	45
Percentage of genes in species-specific orthogroups	0.2	0.1	0.3	0.2	0.2	0.4	0.3	0.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	6356	6161	6243	6434	5942	5828	6196	5887
'1	31371	31572	31543	31385	31873	31901	31623	31900
'2	2246	2275	2232	2217	2218	2237	2204	2246
'3	391	413	386	381	362	416	378	377
'4	158	140	148	140	158	157	146	155
'5	79	57	58	61	62	65	67	62
'6	41	35	35	33	40	34	43	42
'7	22	17	26	26	18	30	27	13
'8	19	18	18	18	14	18	12	12
'9	16	14	15	12	17	10	12	11
'10	9	12	9	9	11	13	7	7
11-15	22	19	16	17	15	15	16	18
16-20	5	2	4	0	1	7	3	2
21-50	2	2	4	4	6	6	3	5
51-100	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	15.6	15.1	15.3	15.8	14.6	14.3	15.2	14.5
'1	77.0	77.5	77.4	77.0	78.2	78.3	77.6	78.3
'2	5.5	5.6	5.5	5.4	5.4	5.5	5.4	5.5
'3	1.0	1.0	0.9	0.9	0.9	1.0	0.9	0.9
'4	0.4	0.3	0.4	0.3	0.4	0.4	0.4	0.4
