cultivar_a	cultivar_b	identical_membership_cells	total_orthogroups	identical_membership_fraction	identical_gene_count_cells	identical_gene_count_fraction	critical_duplicate_flag
BSM	CI	3705	40737	0.09094925988658958	34034	0.8354567101161107	False
BSM	GJ	2903	40737	0.0712619976925154	32335	0.7937501534231779	False
BSM	IN	3678	40737	0.0902864717578614	34238	0.8404644426442791	False
BSM	KM	2453	40737	0.06021552888037902	32367	0.7945356800942632	False
BSM	MPE	3849	40737	0.09448412990647323	34233	0.8403417041019221	False
BSM	PP	3552	40737	0.08719346049046321	34563	0.8484424478974888	False
CI	GJ	2875	40737	0.0705746618553158	32438	0.7962785673957337	False
CI	IN	3667	40737	0.09001644696467585	34206	0.8396789159731939	False
CI	KM	2623	40737	0.06438863932051943	32570	0.7995188649139603	False
CI	MPE	3858	40737	0.09470505928271596	34149	0.8382796965903233	False
CI	PP	3733	40737	0.09163659572378918	34490	0.8466504651790755	False
GJ	IN	2799	40737	0.06870903601148833	32574	0.7996170557478459	False
GJ	KM	4009	40737	0.0984117632618995	35450	0.8702162653116332	False
GJ	MPE	2849	40737	0.06993642143505904	32505	0.7979232638633184	False
GJ	PP	2745	40737	0.06738345975403195	32517	0.7982178363649753	False
IN	KM	2490	40737	0.06112379409382134	32661	0.801752706384859	False
IN	MPE	3689	40737	0.09055649655104696	34365	0.8435820016201487	False
IN	PP	3628	40737	0.08905908633429069	34581	0.8488843066499743	False
KM	MPE	2485	40737	0.06100105555146427	32385	0.7949775388467487	False
KM	PP	2439	40737	0.05987186096177922	32611	0.8005253209612883	False
MPE	PP	3624	40737	0.08896089550040504	34629	0.8500625966566021	False
