Orthogroup	AGIS1.0	BSM	CI	GJ	IN	KM	MPE	PP	cultivar_occupancy	reference_present	orthogroup_class	private_cultivar
OG0000000	23	12	11	24	24	21	24	12	7	1	Core	
OG0000001	7	11	2	1	26	25	7	26	7	1	Core	
OG0000002	13	3	10	12	11	20	14	17	7	1	Core	
OG0000003	11	11	12	12	11	12	11	12	7	1	Core	
OG0000004	5	3	19	2	19	19	19	4	7	1	Core	
OG0000005	11	11	11	11	11	11	11	11	7	1	Core	
OG0000006	12	12	11	13	6	7	12	12	7	1	Core	
OG0000007	11	10	10	11	10	11	11	11	7	1	Core	
OG0000008	11	11	8	11	11	9	11	12	7	1	Core	
OG0000009	12	12	10	12	11	11	10	6	7	1	Core	
OG0000010	12	11	11	11	2	10	13	11	7	1	Core	
OG0000011	10	10	10	10	10	10	10	10	7	1	Core	
OG0000012	10	10	10	10	10	10	10	10	7	1	Core	
OG0000013	15	14	13	0	12	11	1	13	6	1	Soft core	
OG0000014	8	11	10	9	9	10	11	11	7	1	Core	
OG0000015	19	0	0	23	0	0	35	0	2	1	Accessory	
OG0000016	5	11	11	3	11	13	11	11	7	1	Core	
OG0000017	11	12	0	10	10	11	10	11	6	1	Soft core	
OG0000018	10	9	13	5	8	9	12	7	7	1	Core	
OG0000019	11	10	9	6	8	11	8	10	7	1	Core	
OG0000020	2	14	17	1	3	17	2	17	7	1	Core	
OG0000021	9	9	9	9	9	9	9	9	7	1	Core	
OG0000022	12	10	0	10	11	12	5	11	6	1	Soft core	
OG0000023	10	14	7	8	9	12	2	9	7	1	Core	
OG0000024	13	11	8	13	11	1	11	2	7	1	Core	
OG0000025	4	11	11	11	5	11	11	5	7	1	Core	
OG0000026	9	10	9	9	9	8	8	7	7	1	Core	
OG0000027	9	9	9	9	9	5	9	9	7	1	Core	
OG0000028	13	13	2	13	1	13	0	13	6	1	Soft core	
OG0000029	9	9	6	9	8	9	8	9	7	1	Core	
OG0000030	9	9	8	7	9	7	9	9	7	1	Core	
OG0000031	9	6	9	7	9	8	9	9	7	1	Core	
OG0000032	1	5	10	10	10	10	10	10	7	1	Core	
OG0000033	14	7	8	9	8	1	7	11	7	1	Core	
OG0000034	11	9	9	9	7	8	3	8	7	1	Core	
OG0000035	8	8	8	8	8	8	8	8	7	1	Core	
OG0000036	8	8	8	8	8	8	8	8	7	1	Core	
OG0000037	8	8	8	8	8	8	8	8	7	1	Core	
OG0000038	13	1	2	14	5	17	9	1	7	1	Core	
OG0000039	8	9	9	8	9	8	9	2	7	1	Core	
OG0000040	7	8	8	7	8	7	7	7	7	1	Core	
OG0000041	10	4	9	8	9	8	1	8	7	1	Core	
OG0000042	7	8	7	7	7	6	7	8	7	1	Core	
OG0000043	23	0	0	3	5	21	5	0	4	1	Accessory	
OG0000044	2	8	8	8	8	8	7	8	7	1	Core	
OG0000045	8	8	8	8	4	8	7	5	7	1	Core	
OG0000046	7	7	7	7	7	7	7	7	7	1	Core	
OG0000047	11	2	9	5	9	8	6	6	7	1	Core	
OG0000048	7	7	7	7	7	7	7	7	7	1	Core	
OG0000049	8	8	8	9	5	7	7	4	7	1	Core	
OG0000050	7	7	7	7	7	7	7	6	7	1	Core	
OG0000051	6	7	7	7	7	7	7	7	7	1	Core	
OG0000052	4	4	10	5	10	16	4	2	7	1	Core	
OG0000053	6	7	7	7	7	7	7	7	7	1	Core	
OG0000054	9	9	8	7	8	0	6	7	6	1	Soft core	
OG0000055	8	10	8	2	6	4	9	6	7	1	Core	
OG0000056	7	7	7	7	7	7	7	4	7	1	Core	
OG0000057	7	8	7	7	3	7	7	7	7	1	Core	
OG0000058	7	6	7	2	7	9	8	6	7	1	Core	
OG0000059	7	7	6	7	6	7	6	6	7	1	Core	
OG0000060	5	9	5	5	9	9	4	6	7	1	Core	
OG0000061	7	8	8	8	3	7	8	3	7	1	Core	
OG0000062	1	20	3	2	21	2	1	2	7	1	Core	
OG0000063	2	7	8	8	3	8	8	8	7	1	Core	
OG0000064	8	8	9	1	8	1	8	8	7	1	Core	
OG0000065	8	9	1	8	5	8	4	8	7	1	Core	
OG0000066	8	8	8	1	8	1	8	8	7	1	Core	
OG0000067	6	6	6	6	6	7	6	6	7	1	Core	
OG0000068	6	6	6	6	6	6	6	6	7	1	Core	
OG0000069	6	6	6	6	6	6	6	6	7	1	Core	
OG0000070	6	6	6	6	6	6	6	6	7	1	Core	
OG0000071	8	8	1	7	9	1	9	5	7	1	Core	
OG0000072	7	8	5	1	7	6	7	7	7	1	Core	
OG0000073	6	6	6	6	6	6	6	6	7	1	Core	
OG0000074	6	6	6	6	6	6	6	6	7	1	Core	
OG0000075	6	6	6	6	6	6	6	6	7	1	Core	
OG0000076	6	6	6	6	6	6	6	6	7	1	Core	
OG0000077	6	6	6	6	6	6	6	6	7	1	Core	
OG0000078	6	6	6	6	6	6	6	6	7	1	Core	
OG0000079	6	6	6	6	6	6	6	6	7	1	Core	
OG0000080	6	6	6	6	6	6	6	6	7	1	Core	
OG0000081	6	6	6	6	6	6	6	6	7	1	Core	
OG0000082	0	3	11	7	12	9	6	0	6	0	Soft core	
OG0000083	9	1	1	1	11	4	10	10	7	1	Core	
OG0000084	6	6	6	6	6	6	5	6	7	1	Core	
OG0000085	2	2	13	2	13	0	13	2	6	1	Soft core	
OG0000086	1	8	13	5	3	5	6	6	7	1	Core	
OG0000087	6	6	5	10	4	4	7	4	7	1	Core	
OG0000088	13	3	23	1	1	4	0	1	6	1	Soft core	
OG0000089	2	5	8	10	0	6	5	9	6	1	Soft core	
OG0000090	9	10	6	7	9	3	1	0	6	1	Soft core	
OG0000091	6	10	3	13	6	0	0	6	5	1	Accessory	
OG0000092	4	0	9	12	4	2	4	9	6	1	Soft core	
OG0000093	3	4	3	6	5	5	6	12	7	1	Core	
OG0000094	0	3	1	12	11	1	1	15	7	0	Core	
OG0000095	5	3	5	9	8	5	3	5	7	1	Core	
OG0000096	13	4	1	4	3	8	5	5	7	1	Core	
OG0000097	6	7	0	7	8	0	7	8	5	1	Accessory	
OG0000098	5	6	6	5	5	5	6	5	7	1	Core	
OG0000099	7	7	7	7	0	7	7	0	5	1	Accessory	
OG0000100	7	3	5	9	1	8	5	4	7	1	Core	
OG0000101	10	10	11	1	10	0	0	0	4	1	Accessory	
OG0000102	5	6	5	5	5	5	5	5	7	1	Core	
OG0000103	12	3	4	0	13	3	4	2	6	1	Soft core	
OG0000104	5	5	5	6	5	5	5	5	7	1	Core	
OG0000105	3	11	9	5	4	4	0	5	6	1	Soft core	
OG0000106	7	7	6	9	2	8	1	1	7	1	Core	
OG0000107	5	7	7	1	4	5	6	6	7	1	Core	
OG0000108	5	3	3	2	10	6	6	6	7	1	Core	
OG0000109	5	6	7	3	6	4	5	5	7	1	Core	
OG0000110	6	6	5	4	6	5	6	3	7	1	Core	
OG0000111	5	5	5	5	5	5	5	5	7	1	Core	
OG0000112	5	5	5	5	5	5	5	5	7	1	Core	
OG0000113	5	5	5	5	5	5	5	5	7	1	Core	
OG0000114	5	5	5	5	5	5	5	5	7	1	Core	
OG0000115	5	5	5	5	5	5	5	5	7	1	Core	
OG0000116	5	5	5	5	5	5	5	5	7	1	Core	
OG0000117	5	5	5	5	5	5	5	5	7	1	Core	
OG0000118	5	5	5	5	5	5	5	5	7	1	Core	
OG0000119	5	5	5	5	5	5	5	5	7	1	Core	
OG0000120	5	5	5	5	5	5	5	5	7	1	Core	
OG0000121	5	5	5	5	5	5	5	5	7	1	Core	
OG0000122	5	5	5	5	5	5	5	5	7	1	Core	
OG0000123	5	5	5	5	5	5	5	5	7	1	Core	
OG0000124	7	0	0	7	6	7	7	6	5	1	Accessory	
OG0000125	5	5	5	5	5	5	5	5	7	1	Core	
OG0000126	5	5	5	5	5	5	5	5	7	1	Core	
OG0000127	5	5	5	5	5	5	5	5	7	1	Core	
OG0000128	6	6	2	2	6	6	6	6	7	1	Core	
OG0000129	0	1	3	11	10	13	1	1	7	0	Core	
OG0000130	5	5	5	5	5	5	4	5	7	1	Core	
OG0000131	8	6	5	3	3	7	3	4	7	1	Core	
OG0000132	6	6	5	2	2	6	6	6	7	1	Core	
OG0000133	5	5	6	4	6	4	5	4	7	1	Core	
OG0000134	5	5	5	5	5	5	4	5	7	1	Core	
OG0000135	4	9	2	4	9	8	0	3	6	1	Soft core	
OG0000136	5	5	5	5	5	5	5	4	7	1	Core	
OG0000137	3	7	6	2	4	4	7	6	7	1	Core	
OG0000138	5	5	4	5	4	5	5	5	7	1	Core	
OG0000139	4	4	4	4	10	4	4	4	7	1	Core	
OG0000140	6	1	4	6	6	5	5	5	7	1	Core	
OG0000141	7	5	5	5	5	6	1	4	7	1	Core	
OG0000142	5	5	5	5	5	3	5	5	7	1	Core	
OG0000143	7	7	0	1	7	7	7	2	6	1	Soft core	
OG0000144	5	4	5	3	5	6	5	4	7	1	Core	
OG0000145	6	0	0	6	6	6	7	6	5	1	Accessory	
OG0000146	5	2	7	6	5	6	5	1	7	1	Core	
OG0000147	5	2	5	5	5	5	5	5	7	1	Core	
OG0000148	3	2	11	2	9	4	3	3	7	1	Core	
OG0000149	0	0	0	0	0	0	37	0	1	0	Private	MPE
OG0000150	3	5	2	5	7	5	5	4	7	1	Core	
OG0000151	4	4	5	5	3	5	5	5	7	1	Core	
OG0000152	5	1	5	5	5	5	5	5	7	1	Core	
OG0000153	5	4	4	5	4	5	5	4	7	1	Core	
OG0000154	6	6	6	6	6	0	0	6	5	1	Accessory	
OG0000155	6	3	6	5	3	5	5	3	7	1	Core	
OG0000156	5	5	5	5	4	5	5	2	7	1	Core	
OG0000157	0	6	1	6	6	5	6	6	7	0	Core	
OG0000158	5	4	4	6	4	4	4	4	7	1	Core	
OG0000159	6	6	0	2	5	6	5	5	6	1	Soft core	
OG0000160	5	5	4	2	4	5	5	5	7	1	Core	
OG0000161	5	5	5	0	5	5	5	5	6	1	Soft core	
OG0000162	3	3	3	7	4	5	4	6	7	1	Core	
OG0000163	5	2	9	3	3	3	5	5	7	1	Core	
OG0000164	0	31	0	4	0	0	0	0	2	0	Accessory	
OG0000165	5	4	4	4	4	5	4	4	7	1	Core	
OG0000166	5	4	5	4	4	4	4	4	7	1	Core	
OG0000167	5	3	5	5	5	6	5	0	6	1	Soft core	
OG0000168	4	4	4	5	4	4	4	4	7	1	Core	
OG0000169	4	4	4	4	4	4	5	4	7	1	Core	
OG0000170	5	5	5	0	4	4	5	5	6	1	Soft core	
OG0000171	6	5	3	2	3	5	4	5	7	1	Core	
OG0000172	9	1	9	10	1	1	1	1	7	1	Core	
OG0000173	3	5	3	5	4	6	4	3	7	1	Core	
OG0000174	5	2	7	8	3	2	3	3	7	1	Core	
OG0000175	4	5	5	4	5	2	3	5	7	1	Core	
OG0000176	6	6	0	6	6	6	0	3	5	1	Accessory	
OG0000177	9	4	5	1	0	4	9	1	6	1	Soft core	
OG0000178	0	0	0	0	33	0	0	0	1	0	Private	IN
OG0000179	4	4	4	4	4	4	4	4	7	1	Core	
OG0000180	4	4	4	4	4	4	4	4	7	1	Core	
OG0000181	4	4	4	4	4	4	4	4	7	1	Core	
OG0000182	4	4	4	4	4	4	4	4	7	1	Core	
OG0000183	4	4	4	4	4	4	4	4	7	1	Core	
OG0000184	4	4	4	4	4	4	4	4	7	1	Core	
OG0000185	4	4	4	4	4	4	4	4	7	1	Core	
OG0000186	4	4	4	4	4	4	4	4	7	1	Core	
OG0000187	4	4	4	4	4	4	4	4	7	1	Core	
OG0000188	4	4	4	4	4	4	4	4	7	1	Core	
OG0000189	4	3	4	4	4	7	3	3	7	1	Core	
OG0000190	4	4	4	4	4	4	4	4	7	1	Core	
OG0000191	4	4	4	4	4	4	4	4	7	1	Core	
OG0000192	4	4	4	4	4	4	4	4	7	1	Core	
OG0000193	4	4	4	4	4	4	4	4	7	1	Core	
OG0000194	4	4	4	4	4	4	4	4	7	1	Core	
OG0000195	4	4	4	4	4	4	4	4	7	1	Core	
OG0000196	4	4	4	4	4	4	4	4	7	1	Core	
OG0000197	4	4	4	4	4	4	4	4	7	1	Core	
OG0000198	4	4	4	4	4	4	4	4	7	1	Core	
OG0000199	4	4	4	4	4	4	4	4	7	1	Core	
OG0000200	6	2	2	5	6	5	2	4	7	1	Core	
OG0000201	4	4	4	4	4	4	4	4	7	1	Core	
OG0000202	4	4	4	4	4	4	4	4	7	1	Core	
OG0000203	4	4	4	4	4	4	4	4	7	1	Core	
OG0000204	4	4	4	4	4	4	4	4	7	1	Core	
OG0000205	4	4	4	4	4	4	4	4	7	1	Core	
OG0000206	4	4	4	4	4	4	4	4	7	1	Core	
OG0000207	4	4	4	4	4	4	4	4	7	1	Core	
OG0000208	4	4	4	4	4	4	4	4	7	1	Core	
OG0000209	4	4	4	4	4	4	4	4	7	1	Core	
OG0000210	4	4	4	4	4	4	4	4	7	1	Core	
OG0000211	4	4	4	4	4	4	4	4	7	1	Core	
OG0000212	4	4	4	4	4	4	4	4	7	1	Core	
OG0000213	4	2	2	5	5	4	5	5	7	1	Core	
OG0000214	4	4	4	4	4	4	4	4	7	1	Core	
OG0000215	4	4	4	4	4	4	4	4	7	1	Core	
OG0000216	4	4	4	4	4	4	4	4	7	1	Core	
OG0000217	4	4	4	4	4	4	4	4	7	1	Core	
OG0000218	4	4	4	4	4	4	4	4	7	1	Core	
OG0000219	7	4	7	2	4	1	1	6	7	1	Core	
OG0000220	4	4	4	4	4	4	4	4	7	1	Core	
OG0000221	4	4	4	4	4	4	4	4	7	1	Core	
OG0000222	4	4	4	4	4	4	4	4	7	1	Core	
OG0000223	4	4	4	4	4	4	4	4	7	1	Core	
OG0000224	5	5	3	4	5	1	4	5	7	1	Core	
OG0000225	4	4	4	4	4	4	4	4	7	1	Core	
OG0000226	4	4	4	4	4	4	4	4	7	1	Core	
OG0000227	4	4	4	4	4	4	4	4	7	1	Core	
OG0000228	4	4	4	4	4	4	4	4	7	1	Core	
OG0000229	4	4	4	4	4	4	4	4	7	1	Core	
OG0000230	4	4	4	4	4	4	4	4	7	1	Core	
OG0000231	4	4	4	4	4	4	4	4	7	1	Core	
OG0000232	4	4	4	4	4	4	4	4	7	1	Core	
OG0000233	4	4	4	4	4	4	4	4	7	1	Core	
OG0000234	4	4	4	4	4	4	4	4	7	1	Core	
OG0000235	16	0	6	1	2	1	2	3	6	1	Soft core	
OG0000236	5	5	6	4	5	2	1	3	7	1	Core	
OG0000237	4	4	5	3	4	3	5	3	7	1	Core	
OG0000238	4	5	4	4	4	2	4	4	7	1	Core	
OG0000239	4	4	7	3	3	5	3	2	7	1	Core	
OG0000240	6	7	11	0	1	3	2	1	6	1	Soft core	
OG0000241	4	4	4	4	3	4	4	4	7	1	Core	
OG0000242	9	2	0	2	0	0	9	9	4	1	Accessory	
OG0000243	4	5	3	4	5	4	3	3	7	1	Core	
OG0000244	4	4	4	4	4	4	4	3	7	1	Core	
OG0000245	0	9	1	10	0	10	1	0	5	0	Accessory	
OG0000246	3	4	4	3	4	5	5	2	7	1	Core	
OG0000247	4	4	4	4	4	4	3	3	7	1	Core	
OG0000248	6	2	5	0	6	5	0	6	5	1	Accessory	
OG0000249	4	4	4	2	4	4	4	4	7	1	Core	
OG0000250	7	4	1	0	1	7	4	6	6	1	Soft core	
OG0000251	6	5	1	8	1	1	1	7	7	1	Core	
OG0000252	4	4	4	2	4	4	4	4	7	1	Core	
OG0000253	1	1	7	2	5	2	6	6	7	1	Core	
OG0000254	3	4	4	4	4	3	4	4	7	1	Core	
OG0000255	5	0	0	5	5	5	5	5	5	1	Accessory	
OG0000256	4	3	4	4	4	4	4	3	7	1	Core	
OG0000257	4	3	3	4	4	4	4	4	7	1	Core	
OG0000258	4	4	4	4	3	4	3	4	7	1	Core	
OG0000259	3	4	4	4	3	4	4	4	7	1	Core	
OG0000260	4	4	4	3	4	4	3	4	7	1	Core	
OG0000261	4	3	3	3	4	4	6	3	7	1	Core	
OG0000262	1	1	7	4	5	7	4	1	7	1	Core	
OG0000263	5	3	3	4	3	6	3	3	7	1	Core	
OG0000264	0	5	5	5	5	4	5	1	7	0	Core	
OG0000265	0	0	30	0	0	0	0	0	1	0	Private	CI
OG0000266	0	0	30	0	0	0	0	0	1	0	Private	CI
OG0000267	4	1	4	4	4	4	4	4	7	1	Core	
OG0000268	4	4	4	1	4	4	4	4	7	1	Core	
OG0000269	7	5	1	3	2	7	1	3	7	1	Core	
OG0000270	5	0	5	5	5	0	5	4	5	1	Accessory	
OG0000271	6	0	0	5	6	4	4	4	5	1	Accessory	
OG0000272	5	4	2	4	5	5	2	2	7	1	Core	
OG0000273	1	0	5	6	6	0	6	5	5	1	Accessory	
OG0000274	0	15	6	1	5	1	0	1	6	0	Soft core	
OG0000275	0	3	3	5	3	6	6	3	7	0	Core	
OG0000276	0	0	0	0	29	0	0	0	1	0	Private	IN
OG0000277	4	3	3	4	3	4	4	3	7	1	Core	
OG0000278	5	0	5	5	5	4	0	4	5	1	Accessory	
OG0000279	4	4	4	0	4	4	4	4	6	1	Soft core	
OG0000280	4	4	4	0	4	4	4	4	6	1	Soft core	
OG0000281	1	0	4	8	0	1	7	7	5	1	Accessory	
OG0000282	4	4	4	3	4	3	2	4	7	1	Core	
OG0000283	4	0	4	4	4	4	4	4	6	1	Soft core	
OG0000284	4	4	2	4	3	4	3	4	7	1	Core	
OG0000285	4	4	4	0	4	4	4	4	6	1	Soft core	
OG0000286	2	4	4	4	4	3	4	3	7	1	Core	
OG0000287	2	2	2	6	2	2	6	6	7	1	Core	
OG0000288	3	4	4	4	4	4	4	1	7	1	Core	
OG0000289	1	0	1	0	26	0	0	0	2	1	Accessory	
OG0000290	1	4	3	4	4	4	4	4	7	1	Core	
OG0000291	1	1	0	4	0	0	10	12	4	1	Accessory	
OG0000292	4	3	2	4	2	4	6	3	7	1	Core	
OG0000293	2	3	4	3	4	4	4	4	7	1	Core	
OG0000294	5	4	3	4	4	4	0	4	6	1	Soft core	
OG0000295	3	4	4	3	4	2	4	4	7	1	Core	
OG0000296	5	4	4	2	0	1	9	3	6	1	Soft core	
OG0000297	4	4	4	4	4	4	1	3	7	1	Core	
OG0000298	0	26	1	0	1	0	0	0	3	0	Accessory	
OG0000299	0	6	7	0	1	7	6	1	6	0	Soft core	
OG0000300	0	0	0	0	1	0	0	27	2	0	Accessory	
OG0000301	3	2	3	4	5	3	2	5	7	1	Core	
OG0000302	4	3	3	4	3	4	3	3	7	1	Core	
OG0000303	4	3	4	3	4	1	4	4	7	1	Core	
OG0000304	1	1	6	7	5	6	1	0	6	1	Soft core	
OG0000305	4	3	3	4	3	4	3	3	7	1	Core	
OG0000306	10	8	9	0	0	0	0	0	2	1	Accessory	
OG0000307	5	3	0	5	5	0	5	4	5	1	Accessory	
OG0000308	4	3	4	3	3	3	4	3	7	1	Core	
OG0000309	0	5	3	4	5	5	5	0	6	0	Soft core	
OG0000310	0	5	6	0	6	0	5	5	5	0	Accessory	
OG0000311	0	0	0	27	0	0	0	0	1	0	Private	GJ
OG0000312	4	3	4	4	0	4	3	4	6	1	Soft core	
OG0000313	9	0	0	0	0	9	8	0	2	1	Accessory	
OG0000314	3	3	3	3	4	3	4	3	7	1	Core	
OG0000315	1	1	0	0	0	0	0	24	2	1	Accessory	
OG0000316	5	1	4	2	1	10	2	1	7	1	Core	
OG0000317	3	4	5	3	2	4	2	3	7	1	Core	
OG0000318	4	3	4	4	2	3	4	2	7	1	Core	
OG0000319	4	4	4	4	1	1	4	4	7	1	Core	
OG0000320	4	4	3	2	4	2	3	4	7	1	Core	
OG0000321	4	4	2	2	4	2	4	4	7	1	Core	
OG0000322	3	4	4	3	3	3	3	3	7	1	Core	
OG0000323	4	2	4	1	3	5	3	4	7	1	Core	
OG0000324	5	1	1	3	5	5	3	3	7	1	Core	
OG0000325	1	6	5	0	6	5	3	0	5	1	Accessory	
OG0000326	3	4	3	3	3	3	3	4	7	1	Core	
OG0000327	4	0	4	4	0	6	4	4	5	1	Accessory	
OG0000328	0	10	7	0	0	0	0	9	3	0	Accessory	
OG0000329	0	1	6	4	3	7	0	5	6	0	Soft core	
OG0000330	0	4	5	4	1	4	3	5	7	0	Core	
OG0000331	2	4	3	2	4	2	4	4	7	1	Core	
OG0000332	5	0	0	8	2	10	0	0	3	1	Accessory	
OG0000333	3	3	3	3	4	3	3	3	7	1	Core	
OG0000334	2	2	3	6	2	7	3	0	6	1	Soft core	
OG0000335	3	3	3	4	3	3	3	3	7	1	Core	
OG0000336	4	2	2	2	3	5	2	5	7	1	Core	
OG0000337	3	5	1	3	0	5	4	4	6	1	Soft core	
OG0000338	4	3	3	3	3	3	3	3	7	1	Core	
OG0000339	2	9	2	3	2	4	1	2	7	1	Core	
OG0000340	3	0	4	4	4	3	4	3	6	1	Soft core	
OG0000341	2	0	1	1	11	9	0	1	5	1	Accessory	
OG0000342	4	3	3	3	3	3	3	3	7	1	Core	
OG0000343	3	4	5	2	2	3	2	4	7	1	Core	
OG0000344	3	3	3	3	4	3	3	3	7	1	Core	
OG0000345	1	4	4	0	4	4	4	4	6	1	Soft core	
OG0000346	4	3	3	2	3	3	4	3	7	1	Core	
OG0000347	4	4	4	0	4	4	0	5	5	1	Accessory	
OG0000348	3	3	3	3	3	4	3	3	7	1	Core	
OG0000349	3	3	3	4	3	3	3	3	7	1	Core	
OG0000350	3	3	3	4	3	3	3	3	7	1	Core	
OG0000351	2	4	4	4	3	2	4	2	7	1	Core	
OG0000352	0	0	5	5	5	5	0	5	5	0	Accessory	
OG0000353	0	0	0	0	0	0	0	25	1	0	Private	PP
OG0000354	3	3	3	3	3	3	3	3	7	1	Core	
OG0000355	3	3	3	3	3	3	3	3	7	1	Core	
OG0000356	1	3	3	3	5	2	4	3	7	1	Core	
OG0000357	3	3	3	3	3	3	3	3	7	1	Core	
OG0000358	3	3	3	3	3	3	3	3	7	1	Core	
OG0000359	3	3	3	3	3	3	3	3	7	1	Core	
OG0000360	3	3	3	3	3	3	3	3	7	1	Core	
OG0000361	3	3	3	3	3	3	3	3	7	1	Core	
OG0000362	5	0	0	0	0	0	19	0	1	1	Private	MPE
OG0000363	3	3	3	3	3	3	3	3	7	1	Core	
OG0000364	1	4	2	4	7	3	1	2	7	1	Core	
OG0000365	3	3	3	3	3	3	3	3	7	1	Core	
OG0000366	3	3	3	3	3	3	3	3	7	1	Core	
OG0000367	3	3	3	3	3	3	3	3	7	1	Core	
OG0000368	5	0	0	6	6	1	6	0	4	1	Accessory	
OG0000369	3	3	3	3	3	3	3	3	7	1	Core	
OG0000370	3	3	3	3	3	3	3	3	7	1	Core	
OG0000371	3	3	3	3	3	3	3	3	7	1	Core	
OG0000372	3	3	3	3	3	3	3	3	7	1	Core	
OG0000373	3	3	3	3	3	3	3	3	7	1	Core	
OG0000374	3	3	3	3	3	3	3	3	7	1	Core	
OG0000375	3	3	3	3	3	3	3	3	7	1	Core	
OG0000376	3	3	3	3	3	3	3	3	7	1	Core	
OG0000377	3	3	3	3	3	3	3	3	7	1	Core	
OG0000378	3	3	3	3	3	3	3	3	7	1	Core	
OG0000379	3	3	3	3	3	3	3	3	7	1	Core	
OG0000380	3	3	3	3	3	3	3	3	7	1	Core	
OG0000381	3	3	3	3	3	3	3	3	7	1	Core	
OG0000382	3	3	3	3	3	3	3	3	7	1	Core	
OG0000383	3	3	3	3	3	3	3	3	7	1	Core	
OG0000384	3	3	3	3	3	3	3	3	7	1	Core	
OG0000385	3	3	3	2	4	4	1	4	7	1	Core	
OG0000386	3	3	3	3	3	3	3	3	7	1	Core	
OG0000387	3	3	3	3	3	3	3	3	7	1	Core	
OG0000388	3	3	3	3	3	3	3	3	7	1	Core	
OG0000389	3	3	3	3	3	3	3	3	7	1	Core	
OG0000390	3	3	3	3	3	3	3	3	7	1	Core	
OG0000391	3	3	3	3	3	3	3	3	7	1	Core	
OG0000392	3	3	3	3	3	3	3	3	7	1	Core	
OG0000393	3	3	3	3	3	3	3	3	7	1	Core	
OG0000394	3	3	3	3	3	3	3	3	7	1	Core	
OG0000395	1	4	4	3	3	3	3	3	7	1	Core	
OG0000396	5	2	0	6	4	3	0	4	5	1	Accessory	
OG0000397	3	3	3	3	3	3	3	3	7	1	Core	
OG0000398	3	3	3	3	3	3	3	3	7	1	Core	
OG0000399	3	3	3	3	3	3	3	3	7	1	Core	
OG0000400	3	3	3	3	3	3	3	3	7	1	Core	
OG0000401	1	4	2	4	3	4	4	2	7	1	Core	
OG0000402	3	3	3	3	3	3	3	3	7	1	Core	
OG0000403	3	3	3	3	3	3	3	3	7	1	Core	
OG0000404	3	3	3	3	3	3	3	3	7	1	Core	
OG0000405	6	5	2	3	1	6	0	1	6	1	Soft core	
OG0000406	3	3	3	3	3	3	3	3	7	1	Core	
OG0000407	3	3	3	3	3	3	3	3	7	1	Core	
OG0000408	3	3	3	3	3	3	3	3	7	1	Core	
OG0000409	3	3	3	3	3	3	3	3	7	1	Core	
OG0000410	3	3	3	3	3	3	3	3	7	1	Core	
OG0000411	3	3	3	3	3	3	3	3	7	1	Core	
OG0000412	3	3	3	3	3	3	3	3	7	1	Core	
OG0000413	3	3	3	3	3	3	3	3	7	1	Core	
OG0000414	3	3	3	3	3	3	3	3	7	1	Core	
OG0000415	3	3	3	3	3	3	3	3	7	1	Core	
OG0000416	3	3	3	3	3	3	3	3	7	1	Core	
OG0000417	3	3	3	3	3	3	3	3	7	1	Core	
OG0000418	3	3	3	3	3	3	3	3	7	1	Core	
OG0000419	3	3	3	3	3	3	3	3	7	1	Core	
OG0000420	3	3	3	3	3	3	3	3	7	1	Core	
OG0000421	3	3	3	3	3	3	3	3	7	1	Core	
OG0000422	3	3	3	3	3	3	3	3	7	1	Core	
OG0000423	3	3	3	3	3	3	3	3	7	1	Core	
OG0000424	3	3	3	3	3	3	3	3	7	1	Core	
OG0000425	3	3	3	3	3	3	3	3	7	1	Core	
OG0000426	3	3	3	3	3	3	3	3	7	1	Core	
OG0000427	3	3	3	3	3	3	3	3	7	1	Core	
OG0000428	4	0	4	4	4	4	0	4	5	1	Accessory	
OG0000429	3	3	3	3	3	3	3	3	7	1	Core	
OG0000430	3	3	3	3	3	3	3	3	7	1	Core	
OG0000431	3	3	3	3	3	3	3	3	7	1	Core	
OG0000432	3	3	3	3	3	3	3	3	7	1	Core	
OG0000433	3	3	3	3	3	3	3	3	7	1	Core	
OG0000434	3	3	3	3	3	3	3	3	7	1	Core	
OG0000435	3	3	3	3	3	3	3	3	7	1	Core	
OG0000436	4	6	3	4	4	0	2	1	6	1	Soft core	
OG0000437	3	3	3	3	3	3	3	3	7	1	Core	
OG0000438	3	3	3	3	3	3	3	3	7	1	Core	
OG0000439	3	3	3	3	3	3	3	3	7	1	Core	
OG0000440	3	3	3	3	3	3	3	3	7	1	Core	
OG0000441	3	3	3	3	3	3	3	3	7	1	Core	
OG0000442	3	3	3	3	3	3	3	3	7	1	Core	
OG0000443	3	3	3	3	3	3	3	3	7	1	Core	
OG0000444	3	3	3	3	3	3	3	3	7	1	Core	
OG0000445	1	4	4	4	4	3	3	1	7	1	Core	
OG0000446	3	3	3	3	3	3	3	3	7	1	Core	
OG0000447	3	3	3	3	3	3	3	3	7	1	Core	
OG0000448	3	3	3	3	3	3	3	3	7	1	Core	
OG0000449	3	3	3	3	3	3	3	3	7	1	Core	
OG0000450	3	3	3	3	3	3	3	3	7	1	Core	
OG0000451	3	3	3	3	3	3	3	3	7	1	Core	
