Orthogroup	AGIS1.0	BSM	CI	GJ	IN	KM	MPE	PP	cultivar_occupancy	reference_present	private_cultivar
OG0000013	NC_089035.1.g968, NC_089035.1.g970, NC_089036.1.g7191, NC_089040.1.g21959, NC_089041.1.g24235, NC_089044.1.g32828, NC_089045.1.g35245, NC_089045.1.g37200, NC_089045.1.g37202, NC_089045.1.g37203, NC_089045.1.g37212, NC_089045.1.g37214, NC_089045.1.g37215, NC_089045.1.g37216, NC_089045.1.g37217	NC_089035.1.g3228, NC_089035.1.g969, NC_089036.1.g7154, NC_089040.1.g21795, NC_089044.1.g32705, NC_089045.1.g37037, NC_089045.1.g37038, NC_089045.1.g37040, NC_089045.1.g37041, NC_089045.1.g37050, NC_089045.1.g37052, NC_089045.1.g37053, NC_089045.1.g37054, NC_089045.1.g37055	NC_089035.1.g941, NC_089036.1.g7148, NC_089038.1.g14553, NC_089040.1.g21846, NC_089041.1.g24100, NC_089044.1.g32648, NC_089045.1.g35001, NC_089045.1.g36965, NC_089045.1.g36966, NC_089045.1.g36975, NC_089045.1.g36978, NC_089045.1.g36979, NC_089045.1.g36982		NC_089035.1.g946, NC_089036.1.g7170, NC_089038.1.g14531, NC_089040.1.g21917, NC_089041.1.g24182, NC_089044.1.g32832, NC_089045.1.g37212, NC_089045.1.g37213, NC_089045.1.g37222, NC_089045.1.g37225, NC_089045.1.g37226, NC_089045.1.g37229	NC_089035.1.g983, NC_089035.1.g984, NC_089036.1.g7254, NC_089040.1.g22117, NC_089041.1.g24383, NC_089044.1.g33140, NC_089045.1.g37563, NC_089045.1.g37564, NC_089045.1.g37575, NC_089045.1.g37578, NC_089045.1.g37579	NC_089045.1.g34775	NC_089035.1.g3203, NC_089035.1.g946, NC_089036.1.g7187, NC_089041.1.g24108, NC_089044.1.g32788, NC_089045.1.g35231, NC_089045.1.g37144, NC_089045.1.g37146, NC_089045.1.g37147, NC_089045.1.g37154, NC_089045.1.g37156, NC_089045.1.g37157, NC_089045.1.g37158	6	1	
OG0000017	NC_089035.1.g3623, NC_089035.1.g4326, NC_089037.1.g13748, NC_089037.1.g13894, NC_089039.1.g18640, NC_089039.1.g20087, NC_089039.1.g20443, NC_089040.1.g22822, NC_089041.1.g26713, NC_089043.1.g30319, NC_089044.1.g33119	NC_089035.1.g3615, NC_089035.1.g4309, NC_089037.1.g13649, NC_089037.1.g13797, NC_089039.1.g18468, NC_089039.1.g19941, NC_089039.1.g20298, NC_089040.1.g22658, NC_089041.1.g26564, NC_089043.1.g30182, NC_089043.1.g30417, NC_089044.1.g33010		NC_089035.1.g3556, NC_089035.1.g4256, NC_089037.1.g13632, NC_089039.1.g18472, NC_089039.1.g19916, NC_089039.1.g20270, NC_089040.1.g22535, NC_089041.1.g26358, NC_089043.1.g29910, NC_089044.1.g32698	NC_089035.1.g3608, NC_089035.1.g4306, NC_089037.1.g13693, NC_089039.1.g18593, NC_089039.1.g20048, NC_089039.1.g20401, NC_089040.1.g22791, NC_089041.1.g26678, NC_089043.1.g30280, NC_089044.1.g33141	NC_089035.1.g3653, NC_089035.1.g4368, NC_089037.1.g13853, NC_089037.1.g13997, NC_089039.1.g18789, NC_089039.1.g20259, NC_089039.1.g20614, NC_089040.1.g23002, NC_089041.1.g26904, NC_089043.1.g30572, NC_089044.1.g33442	NC_089035.1.g3589, NC_089035.1.g4274, NC_089037.1.g13687, NC_089039.1.g18571, NC_089039.1.g19991, NC_089039.1.g20337, NC_089040.1.g22666, NC_089041.1.g26522, NC_089043.1.g30101, NC_089044.1.g32885	NC_089035.1.g3591, NC_089035.1.g4285, NC_089037.1.g13744, NC_089037.1.g13889, NC_089039.1.g18600, NC_089039.1.g20020, NC_089039.1.g20366, NC_089040.1.g22708, NC_089041.1.g26610, NC_089043.1.g30271, NC_089044.1.g33093	6	1	
OG0000022	NC_089035.1.g2148, NC_089036.1.g6646, NC_089037.1.g11984, NC_089037.1.g11985, NC_089039.1.g19579, NC_089040.1.g21963, NC_089042.1.g27982, NC_089042.1.g28196, NC_089043.1.g30474, NC_089044.1.g34110, NC_089046.1.g38385, NC_089046.1.g38386	NC_089035.1.g2129, NC_089037.1.g11911, NC_089037.1.g11912, NC_089039.1.g19415, NC_089040.1.g21798, NC_089042.1.g27812, NC_089043.1.g30328, NC_089044.1.g33972, NC_089046.1.g38235, NC_089046.1.g38236		NC_089035.1.g2111, NC_089037.1.g11874, NC_089037.1.g11875, NC_089039.1.g19400, NC_089040.1.g21733, NC_089042.1.g27636, NC_089043.1.g30051, NC_089044.1.g33672, NC_089046.1.g37841, NC_089046.1.g37842	NC_089035.1.g2118, NC_089037.1.g11939, NC_089037.1.g11940, NC_089039.1.g19520, NC_089040.1.g21920, NC_089042.1.g27935, NC_089042.1.g28141, NC_089043.1.g30414, NC_089044.1.g34132, NC_089046.1.g38411, NC_089046.1.g38412	NC_089035.1.g2164, NC_089037.1.g12067, NC_089037.1.g12068, NC_089039.1.g19744, NC_089040.1.g22120, NC_089042.1.g28187, NC_089042.1.g28386, NC_089042.1.g28973, NC_089043.1.g30720, NC_089044.1.g34448, NC_089046.1.g38763, NC_089046.1.g38764	NC_089035.1.g2110, NC_089037.1.g11905, NC_089040.1.g21825, NC_089043.1.g30242, NC_089046.1.g38108	NC_089035.1.g2105, NC_089037.1.g11979, NC_089037.1.g11980, NC_089039.1.g19510, NC_089040.1.g21862, NC_089042.1.g27896, NC_089042.1.g28096, NC_089043.1.g30410, NC_089044.1.g34098, NC_089046.1.g38314, NC_089046.1.g38315	6	1	
OG0000028	NC_089042.1.g29827, NC_089042.1.g29832, NC_089042.1.g29833, NC_089042.1.g29834, NC_089042.1.g29835, NC_089042.1.g29837, NC_089042.1.g29838, NC_089042.1.g29839, NC_089042.1.g29844, NC_089042.1.g29845, NC_089042.1.g29846, NC_089042.1.g29847, NC_089042.1.g29852	NC_089042.1.g29679, NC_089042.1.g29685, NC_089042.1.g29686, NC_089042.1.g29687, NC_089042.1.g29688, NC_089042.1.g29690, NC_089042.1.g29691, NC_089042.1.g29692, NC_089042.1.g29697, NC_089042.1.g29698, NC_089042.1.g29699, NC_089042.1.g29700, NC_089042.1.g29704	NC_089042.1.g29700, NC_089042.1.g29709	NC_089042.1.g29404, NC_089042.1.g29409, NC_089042.1.g29410, NC_089042.1.g29411, NC_089042.1.g29412, NC_089042.1.g29414, NC_089042.1.g29415, NC_089042.1.g29416, NC_089042.1.g29421, NC_089042.1.g29422, NC_089042.1.g29423, NC_089042.1.g29424, NC_089042.1.g29429	NC_089042.1.g29787	NC_089042.1.g30044, NC_089042.1.g30049, NC_089042.1.g30050, NC_089042.1.g30051, NC_089042.1.g30052, NC_089042.1.g30054, NC_089042.1.g30055, NC_089042.1.g30056, NC_089042.1.g30061, NC_089042.1.g30062, NC_089042.1.g30063, NC_089042.1.g30064, NC_089042.1.g30069		NC_089042.1.g29759, NC_089042.1.g29765, NC_089042.1.g29766, NC_089042.1.g29767, NC_089042.1.g29768, NC_089042.1.g29770, NC_089042.1.g29771, NC_089042.1.g29772, NC_089042.1.g29777, NC_089042.1.g29778, NC_089042.1.g29779, NC_089042.1.g29780, NC_089042.1.g29784	6	1	
OG0000054	NC_089041.1.g25424, NC_089041.1.g25896, NC_089041.1.g25897, NC_089041.1.g25898, NC_089041.1.g25900, NC_089041.1.g25902, NC_089041.1.g25904, NC_089041.1.g25906, NC_089041.1.g25908	NC_089041.1.g25272, NC_089041.1.g25742, NC_089041.1.g25743, NC_089041.1.g25744, NC_089041.1.g25746, NC_089041.1.g25750, NC_089041.1.g25752, NC_089041.1.g25756, NC_089041.1.g25758	NC_089041.1.g25749, NC_089041.1.g25750, NC_089041.1.g25751, NC_089041.1.g25753, NC_089041.1.g25756, NC_089041.1.g25758, NC_089041.1.g25761, NC_089041.1.g25763	NC_089041.1.g25111, NC_089041.1.g25547, NC_089041.1.g25548, NC_089041.1.g25549, NC_089041.1.g25551, NC_089041.1.g25555, NC_089041.1.g25559	NC_089041.1.g25851, NC_089041.1.g25852, NC_089041.1.g25853, NC_089041.1.g25855, NC_089041.1.g25858, NC_089041.1.g25860, NC_089041.1.g25863, NC_089041.1.g25865		NC_089041.1.g25700, NC_089041.1.g25701, NC_089041.1.g25702, NC_089041.1.g25705, NC_089041.1.g25707, NC_089041.1.g25711	NC_089041.1.g25295, NC_089041.1.g25787, NC_089041.1.g25788, NC_089041.1.g25789, NC_089041.1.g25792, NC_089041.1.g25793, NC_089041.1.g25796	6	1	
OG0000082		NC_089042.1.g27053, NC_089046.1.g38130, NC_089046.1.g39151	NC_089035.1.g1440, NC_089036.1.g6535, NC_089037.1.g10224, NC_089038.1.g14212, NC_089038.1.g14463, NC_089038.1.g15269, NC_089039.1.g19965, NC_089042.1.g27061, NC_089042.1.g28215, NC_089046.1.g38056, NC_089046.1.g39048	NC_089036.1.g6477, NC_089037.1.g10176, NC_089038.1.g14080, NC_089039.1.g19890, NC_089042.1.g26856, NC_089042.1.g27980, NC_089046.1.g37754	NC_089035.1.g1453, NC_089035.1.g1454, NC_089035.1.g4126, NC_089036.1.g6531, NC_089036.1.g7549, NC_089037.1.g10233, NC_089038.1.g14466, NC_089039.1.g18347, NC_089039.1.g20019, NC_089042.1.g27159, NC_089042.1.g28325, NC_089046.1.g38318	NC_089036.1.g6628, NC_089037.1.g10164, NC_089037.1.g10357, NC_089038.1.g15475, NC_089039.1.g20233, NC_089042.1.g27411, NC_089042.1.g28556, NC_089042.1.g30163, NC_089046.1.g38666	NC_089036.1.g6501, NC_089037.1.g10229, NC_089038.1.g14467, NC_089038.1.g14474, NC_089042.1.g27023, NC_089046.1.g38026		6	0	
OG0000085	NC_089040.1.g20989, NC_089040.1.g20992	NC_089040.1.g20840, NC_089040.1.g20843	NC_089037.1.g10188, NC_089039.1.g20129, NC_089040.1.g20892, NC_089040.1.g20894, NC_089040.1.g20919, NC_089042.1.g29706, NC_089043.1.g31466, NC_089043.1.g31484, NC_089043.1.g31487, NC_089043.1.g31488, NC_089043.1.g31493, NC_089043.1.g31511, NC_089045.1.g36000	NC_089040.1.g20813, NC_089040.1.g20816	NC_089037.1.g10198, NC_089039.1.g20187, NC_089040.1.g20961, NC_089040.1.g20964, NC_089040.1.g20991, NC_089042.1.g29786, NC_089043.1.g31597, NC_089043.1.g31616, NC_089043.1.g31619, NC_089043.1.g31620, NC_089043.1.g31625, NC_089043.1.g31643, NC_089045.1.g36262		NC_089037.1.g10193, NC_089039.1.g20137, NC_089040.1.g20878, NC_089040.1.g20881, NC_089040.1.g20907, NC_089042.1.g29628, NC_089043.1.g31404, NC_089043.1.g31422, NC_089043.1.g31425, NC_089043.1.g31426, NC_089043.1.g31431, NC_089043.1.g31449, NC_089045.1.g35974	NC_089040.1.g20906, NC_089040.1.g20908	6	1	
OG0000088	NC_089038.1.g15538, NC_089039.1.g19157, NC_089039.1.g20687, NC_089040.1.g23191, NC_089041.1.g26833, NC_089041.1.g27053, NC_089043.1.g30628, NC_089044.1.g33289, NC_089044.1.g33290, NC_089045.1.g34637, NC_089045.1.g36164, NC_089045.1.g36438, NC_089046.1.g37448	NC_089038.1.g15431, NC_089039.1.g18993, NC_089046.1.g37278	NC_089035.1.g2178, NC_089037.1.g11842, NC_089038.1.g15442, NC_089039.1.g18335, NC_089039.1.g19047, NC_089039.1.g20594, NC_089040.1.g22060, NC_089040.1.g22066, NC_089040.1.g23073, NC_089041.1.g25400, NC_089041.1.g25401, NC_089041.1.g25413, NC_089041.1.g26898, NC_089042.1.g29353, NC_089043.1.g30466, NC_089044.1.g32756, NC_089044.1.g33910, NC_089045.1.g34406, NC_089045.1.g35926, NC_089045.1.g36214, NC_089046.1.g37210, NC_089046.1.g38374, NC_089046.1.g38375	NC_089046.1.g36912	NC_089045.1.g36184	NC_089038.1.g15657, NC_089044.1.g32970, NC_089045.1.g36527, NC_089046.1.g37806		NC_089045.1.g34612	6	1	
OG0000089	NC_089035.1.g1203, NC_089041.1.g26327	NC_089035.1.g1198, NC_089035.1.g2334, NC_089038.1.g16499, NC_089041.1.g24978, NC_089041.1.g26166	NC_089035.1.g1165, NC_089035.1.g2328, NC_089038.1.g16533, NC_089040.1.g21151, NC_089040.1.g21586, NC_089041.1.g24984, NC_089041.1.g26157, NC_089043.1.g29946	NC_089035.1.g1189, NC_089035.1.g2318, NC_089035.1.g3751, NC_089038.1.g16486, NC_089040.1.g21064, NC_089040.1.g21493, NC_089041.1.g24827, NC_089041.1.g25953, NC_089042.1.g27883, NC_089043.1.g29670		NC_089035.1.g1206, NC_089038.1.g16760, NC_089040.1.g21853, NC_089041.1.g25305, NC_089041.1.g26491, NC_089043.1.g30324	NC_089035.1.g1170, NC_089035.1.g2323, NC_089038.1.g16566, NC_089040.1.g21579, NC_089043.1.g29866	NC_089035.1.g1172, NC_089035.1.g2309, NC_089035.1.g309, NC_089038.1.g16576, NC_089040.1.g21169, NC_089040.1.g21597, NC_089041.1.g25002, NC_089041.1.g26197, NC_089043.1.g30031	6	1	
OG0000090	NC_089039.1.g19829, NC_089039.1.g19833, NC_089039.1.g19834, NC_089039.1.g19839, NC_089039.1.g19840, NC_089039.1.g19841, NC_089039.1.g19842, NC_089039.1.g19843, NC_089039.1.g19844	NC_089039.1.g19674, NC_089039.1.g19678, NC_089039.1.g19679, NC_089039.1.g19684, NC_089039.1.g19685, NC_089039.1.g19686, NC_089039.1.g19687, NC_089039.1.g19688, NC_089039.1.g19689, NC_089039.1.g19690	NC_089039.1.g19726, NC_089039.1.g19730, NC_089039.1.g19735, NC_089039.1.g19736, NC_089039.1.g19737, NC_089039.1.g19739	NC_089039.1.g19659, NC_089039.1.g19662, NC_089039.1.g19668, NC_089039.1.g19669, NC_089039.1.g19670, NC_089039.1.g19671, NC_089039.1.g19672	NC_089039.1.g19781, NC_089039.1.g19785, NC_089039.1.g19786, NC_089039.1.g19791, NC_089039.1.g19792, NC_089039.1.g19793, NC_089039.1.g19794, NC_089039.1.g19795, NC_089039.1.g19796	NC_089039.1.g20005, NC_089039.1.g20008, NC_089039.1.g20012	NC_089039.1.g19745		6	1	
