cultivar	orthogroup_label	gene_id
BSM	OG0041223	NC_089035.1.g98
BSM	OG0041224	NC_089035.1.g166
BSM	OG0041225	NC_089035.1.g356
BSM	OG0041226	NC_089035.1.g375
BSM	OG0041227	NC_089035.1.g464
BSM	OG0041228	NC_089035.1.g466
BSM	OG0041229	NC_089035.1.g617
BSM	OG0041230	NC_089035.1.g682
BSM	OG0041231	NC_089035.1.g989
BSM	OG0041232	NC_089035.1.g1224
BSM	OG0041233	NC_089035.1.g1784
BSM	OG0041234	NC_089035.1.g1858
BSM	OG0041235	NC_089035.1.g1905
BSM	OG0041236	NC_089035.1.g1935
BSM	OG0041237	NC_089035.1.g1958
BSM	OG0041238	NC_089035.1.g2083
BSM	OG0041239	NC_089035.1.g2094
BSM	OG0041240	NC_089035.1.g2113
BSM	OG0041241	NC_089035.1.g2269
BSM	OG0041242	NC_089035.1.g2289
BSM	OG0041243	NC_089035.1.g2324
BSM	OG0041244	NC_089035.1.g2416
BSM	OG0041245	NC_089035.1.g2570
BSM	OG0041246	NC_089035.1.g2768
BSM	OG0041247	NC_089035.1.g3075
BSM	OG0041248	NC_089035.1.g3255
BSM	OG0041249	NC_089035.1.g3898
BSM	OG0041250	NC_089035.1.g3981
BSM	OG0041251	NC_089035.1.g4230
BSM	OG0041252	NC_089035.1.g4278
BSM	OG0041253	NC_089035.1.g4425
BSM	OG0041254	NC_089035.1.g4734
BSM	OG0041255	NC_089035.1.g4762
BSM	OG0041256	NC_089035.1.g5220
BSM	OG0041257	NC_089035.1.g5263
BSM	OG0041258	NC_089036.1.g5383
BSM	OG0041259	NC_089036.1.g5385
BSM	OG0041260	NC_089036.1.g5426
BSM	OG0041261	NC_089036.1.g5750
BSM	OG0041262	NC_089036.1.g5779
BSM	OG0041263	NC_089036.1.g5953
BSM	OG0041264	NC_089036.1.g6112
BSM	OG0041265	NC_089036.1.g6123
BSM	OG0041266	NC_089036.1.g6141
BSM	OG0041267	NC_089036.1.g6185
BSM	OG0041268	NC_089036.1.g6201
BSM	OG0041269	NC_089036.1.g6376
BSM	OG0041270	NC_089036.1.g6533
BSM	OG0041271	NC_089036.1.g6606
BSM	OG0041272	NC_089036.1.g6719
BSM	OG0041273	NC_089036.1.g6774
BSM	OG0041274	NC_089036.1.g6841
BSM	OG0041275	NC_089036.1.g7070
BSM	OG0041276	NC_089036.1.g7132
BSM	OG0041277	NC_089036.1.g7157
BSM	OG0041278	NC_089036.1.g7195
BSM	OG0041279	NC_089036.1.g7390
BSM	OG0041280	NC_089036.1.g7583
BSM	OG0041281	NC_089036.1.g7777
BSM	OG0041282	NC_089036.1.g7780
BSM	OG0041283	NC_089036.1.g8188
BSM	OG0041284	NC_089036.1.g8369
BSM	OG0041285	NC_089036.1.g8447
BSM	OG0041286	NC_089036.1.g8507
BSM	OG0041287	NC_089036.1.g8562
BSM	OG0041288	NC_089036.1.g8737
BSM	OG0041289	NC_089036.1.g8859
BSM	OG0041290	NC_089036.1.g8894
BSM	OG0041291	NC_089036.1.g9128
BSM	OG0041292	NC_089036.1.g9160
BSM	OG0041293	NC_089037.1.g9715
BSM	OG0041294	NC_089037.1.g9856
BSM	OG0041295	NC_089037.1.g9957
BSM	OG0041296	NC_089037.1.g10080
BSM	OG0041297	NC_089037.1.g10281
BSM	OG0041298	NC_089037.1.g10402
BSM	OG0041299	NC_089037.1.g10533
BSM	OG0041300	NC_089037.1.g10884
BSM	OG0041301	NC_089037.1.g10973
BSM	OG0041302	NC_089037.1.g11006
BSM	OG0041303	NC_089037.1.g11126
BSM	OG0041304	NC_089037.1.g11299
BSM	OG0041305	NC_089037.1.g11502
BSM	OG0041306	NC_089037.1.g11636
BSM	OG0041307	NC_089037.1.g12208
BSM	OG0041308	NC_089037.1.g12216
BSM	OG0041309	NC_089037.1.g12268
BSM	OG0041310	NC_089037.1.g12336
BSM	OG0041311	NC_089037.1.g12687
BSM	OG0041312	NC_089037.1.g12891
BSM	OG0041313	NC_089037.1.g12913
BSM	OG0041314	NC_089037.1.g12927
BSM	OG0041315	NC_089037.1.g13350
BSM	OG0041316	NC_089037.1.g13698
BSM	OG0041317	NC_089037.1.g13791
BSM	OG0041318	NC_089038.1.g13985
BSM	OG0041319	NC_089038.1.g14050
BSM	OG0041320	NC_089038.1.g14059
BSM	OG0041321	NC_089038.1.g14112
BSM	OG0041322	NC_089038.1.g14155
BSM	OG0041323	NC_089038.1.g14159
BSM	OG0041324	NC_089038.1.g14454
BSM	OG0041325	NC_089038.1.g14640
BSM	OG0041326	NC_089038.1.g14664
BSM	OG0041327	NC_089038.1.g14756
BSM	OG0041328	NC_089038.1.g14766
BSM	OG0041329	NC_089038.1.g14784
BSM	OG0041330	NC_089038.1.g14785
BSM	OG0041331	NC_089038.1.g14786
BSM	OG0041332	NC_089038.1.g14820
BSM	OG0041333	NC_089038.1.g14972
BSM	OG0041334	NC_089038.1.g15289
BSM	OG0041335	NC_089038.1.g15324
BSM	OG0041336	NC_089038.1.g15401
BSM	OG0041337	NC_089038.1.g15510
BSM	OG0041338	NC_089038.1.g15560
BSM	OG0041339	NC_089038.1.g15591
BSM	OG0041340	NC_089038.1.g15641
BSM	OG0041341	NC_089038.1.g15698
BSM	OG0041342	NC_089038.1.g15701
BSM	OG0041343	NC_089038.1.g15712
BSM	OG0041344	NC_089038.1.g15892
BSM	OG0041345	NC_089038.1.g16186
BSM	OG0041346	NC_089038.1.g16215
BSM	OG0041347	NC_089038.1.g16225
BSM	OG0041348	NC_089038.1.g16409
BSM	OG0041349	NC_089038.1.g16761
BSM	OG0041350	NC_089038.1.g16811
BSM	OG0041351	NC_089038.1.g16871
BSM	OG0041352	NC_089038.1.g17014
BSM	OG0041353	NC_089039.1.g17645
BSM	OG0041354	NC_089039.1.g17718
BSM	OG0041355	NC_089039.1.g17819
BSM	OG0041356	NC_089039.1.g18021
BSM	OG0041357	NC_089039.1.g18286
BSM	OG0041358	NC_089039.1.g18305
BSM	OG0041359	NC_089039.1.g18306
BSM	OG0041360	NC_089039.1.g18321
BSM	OG0041361	NC_089039.1.g18326
BSM	OG0041362	NC_089039.1.g18338
BSM	OG0041363	NC_089039.1.g18341
BSM	OG0041364	NC_089039.1.g18353
BSM	OG0041365	NC_089039.1.g18370
BSM	OG0041366	NC_089039.1.g18453
BSM	OG0041367	NC_089039.1.g18580
BSM	OG0041368	NC_089039.1.g18728
BSM	OG0041369	NC_089039.1.g18836
BSM	OG0041370	NC_089039.1.g19041
BSM	OG0041371	NC_089039.1.g19079
BSM	OG0041372	NC_089039.1.g19107
BSM	OG0041373	NC_089039.1.g19109
BSM	OG0041374	NC_089039.1.g19181
BSM	OG0041375	NC_089039.1.g19266
BSM	OG0041376	NC_089039.1.g19283
