Orthogroup	AGIS1.0	BSM	CI	GJ	IN	KM	MPE	PP	cultivar_occupancy	reference_present	private_cultivar
OG0000149							NC_089035.1.g1705, NC_089035.1.g2261, NC_089035.1.g2572, NC_089035.1.g2963, NC_089035.1.g3118, NC_089035.1.g3307, NC_089035.1.g4987, NC_089035.1.g65, NC_089035.1.g668, NC_089036.1.g8156, NC_089036.1.g8792, NC_089037.1.g11293, NC_089037.1.g12352, NC_089037.1.g13916, NC_089037.1.g9828, NC_089037.1.g9898, NC_089038.1.g14016, NC_089038.1.g14449, NC_089038.1.g14481, NC_089038.1.g14917, NC_089038.1.g15013, NC_089038.1.g15855, NC_089038.1.g16308, NC_089038.1.g17131, NC_089040.1.g20623, NC_089040.1.g22365, NC_089040.1.g22854, NC_089040.1.g22937, NC_089041.1.g26497, NC_089042.1.g27457, NC_089042.1.g29408, NC_089042.1.g29528, NC_089043.1.g31184, NC_089043.1.g31905, NC_089044.1.g32467, NC_089045.1.g35162, NC_089046.1.g38880		1	0	MPE
OG0000178					NC_089035.1.g1828, NC_089035.1.g1870, NC_089035.1.g2566, NC_089035.1.g2974, NC_089035.1.g3130, NC_089035.1.g3316, NC_089035.1.g5015, NC_089035.1.g61, NC_089036.1.g6607, NC_089036.1.g7784, NC_089036.1.g8326, NC_089037.1.g12188, NC_089037.1.g12391, NC_089037.1.g13586, NC_089037.1.g9839, NC_089038.1.g14009, NC_089038.1.g14447, NC_089038.1.g14480, NC_089038.1.g16306, NC_089038.1.g17143, NC_089039.1.g19574, NC_089039.1.g20012, NC_089040.1.g20694, NC_089040.1.g22481, NC_089040.1.g22968, NC_089040.1.g23059, NC_089041.1.g26880, NC_089042.1.g27589, NC_089042.1.g28218, NC_089043.1.g31378, NC_089043.1.g32118, NC_089044.1.g33974, NC_089046.1.g39210				1	0	IN
OG0000265			NC_089035.1.g2576, NC_089035.1.g2977, NC_089035.1.g3135, NC_089035.1.g65, NC_089036.1.g5964, NC_089036.1.g8141, NC_089036.1.g8777, NC_089037.1.g13591, NC_089037.1.g9831, NC_089038.1.g14020, NC_089038.1.g14446, NC_089038.1.g14476, NC_089038.1.g15498, NC_089038.1.g16182, NC_089038.1.g16488, NC_089038.1.g16655, NC_089039.1.g18471, NC_089039.1.g18890, NC_089039.1.g19475, NC_089039.1.g19839, NC_089039.1.g19926, NC_089040.1.g20631, NC_089040.1.g22540, NC_089041.1.g24581, NC_089042.1.g27490, NC_089042.1.g29603, NC_089043.1.g31967, NC_089044.1.g32676, NC_089046.1.g38809, NC_089046.1.g38885						1	0	CI
OG0000266			NC_089035.1.g3136, NC_089036.1.g5965, NC_089037.1.g13592, NC_089037.1.g9832, NC_089037.1.g9895, NC_089038.1.g14445, NC_089038.1.g14477, NC_089038.1.g15500, NC_089038.1.g16183, NC_089038.1.g16184, NC_089038.1.g16485, NC_089038.1.g16486, NC_089038.1.g16654, NC_089039.1.g18891, NC_089039.1.g19032, NC_089039.1.g19476, NC_089039.1.g19762, NC_089039.1.g19836, NC_089039.1.g19837, NC_089039.1.g19927, NC_089040.1.g20632, NC_089040.1.g22541, NC_089041.1.g24582, NC_089042.1.g27491, NC_089042.1.g28323, NC_089042.1.g29604, NC_089043.1.g30088, NC_089043.1.g30985, NC_089043.1.g31968, NC_089044.1.g32675						1	0	CI
OG0000276					NC_089035.1.g1826, NC_089035.1.g1872, NC_089035.1.g1873, NC_089035.1.g3131, NC_089035.1.g5014, NC_089036.1.g7785, NC_089036.1.g9212, NC_089037.1.g12185, NC_089037.1.g12392, NC_089037.1.g13587, NC_089037.1.g9840, NC_089037.1.g9908, NC_089038.1.g14119, NC_089038.1.g14446, NC_089038.1.g14482, NC_089038.1.g16307, NC_089038.1.g16497, NC_089038.1.g17145, NC_089039.1.g17716, NC_089039.1.g19315, NC_089040.1.g20695, NC_089040.1.g22478, NC_089040.1.g22969, NC_089040.1.g23061, NC_089042.1.g28219, NC_089043.1.g30194, NC_089043.1.g31379, NC_089043.1.g32119, NC_089046.1.g39209				1	0	IN
OG0000311				NC_089035.1.g1725, NC_089035.1.g2557, NC_089035.1.g4955, NC_089035.1.g63, NC_089036.1.g5899, NC_089037.1.g12052, NC_089037.1.g12428, NC_089037.1.g12482, NC_089037.1.g13010, NC_089037.1.g13858, NC_089038.1.g13956, NC_089038.1.g14380, NC_089038.1.g14408, NC_089038.1.g14567, NC_089038.1.g15775, NC_089038.1.g16958, NC_089039.1.g19348, NC_089039.1.g19458, NC_089039.1.g19827, NC_089039.1.g19883, NC_089040.1.g20551, NC_089040.1.g22376, NC_089040.1.g22970, NC_089041.1.g26572, NC_089042.1.g27882, NC_089045.1.g34945, NC_089046.1.g38511					1	0	GJ
OG0000353								NC_089035.1.g4993, NC_089036.1.g5966, NC_089036.1.g6935, NC_089037.1.g13634, NC_089037.1.g9866, NC_089038.1.g14179, NC_089038.1.g14510, NC_089038.1.g14542, NC_089038.1.g15869, NC_089038.1.g17022, NC_089038.1.g17156, NC_089039.1.g18383, NC_089039.1.g19915, NC_089040.1.g20650, NC_089040.1.g22982, NC_089041.1.g25732, NC_089041.1.g26586, NC_089042.1.g28384, NC_089042.1.g28827, NC_089042.1.g29661, NC_089043.1.g30192, NC_089043.1.g30390, NC_089043.1.g30583, NC_089043.1.g32161, NC_089046.1.g39105	1	0	PP
OG0000362	NC_089035.1.g1755, NC_089035.1.g5030, NC_089039.1.g18139, NC_089044.1.g33081, NC_089044.1.g33465						NC_089035.1.g1703, NC_089035.1.g4985, NC_089036.1.g5788, NC_089036.1.g8157, NC_089037.1.g9896, NC_089038.1.g14447, NC_089039.1.g17707, NC_089039.1.g17937, NC_089039.1.g18068, NC_089040.1.g21833, NC_089040.1.g22361, NC_089042.1.g28939, NC_089043.1.g30018, NC_089043.1.g30225, NC_089043.1.g30813, NC_089044.1.g33711, NC_089045.1.g35164, NC_089045.1.g35270, NC_089046.1.g38878		1	1	MPE
OG0000509			NC_089041.1.g25891, NC_089041.1.g25892, NC_089041.1.g26668, NC_089041.1.g26670, NC_089041.1.g26671, NC_089041.1.g26674, NC_089041.1.g26680, NC_089041.1.g26686, NC_089041.1.g26687, NC_089041.1.g26688, NC_089041.1.g26689, NC_089041.1.g26691, NC_089041.1.g26694, NC_089041.1.g26695, NC_089041.1.g26696, NC_089041.1.g26699, NC_089041.1.g26702, NC_089041.1.g26707, NC_089041.1.g26708, NC_089041.1.g26709, NC_089041.1.g26712, NC_089041.1.g26713, NC_089041.1.g26714, NC_089041.1.g26716						1	0	CI
OG0000510						NC_089035.1.g1766, NC_089035.1.g2313, NC_089035.1.g2619, NC_089035.1.g69, NC_089036.1.g7880, NC_089036.1.g8000, NC_089036.1.g8429, NC_089037.1.g14081, NC_089037.1.g9957, NC_089038.1.g14179, NC_089038.1.g14615, NC_089038.1.g14648, NC_089038.1.g16033, NC_089038.1.g16713, NC_089038.1.g16881, NC_089038.1.g17241, NC_089039.1.g19160, NC_089040.1.g20895, NC_089040.1.g23269, NC_089041.1.g27126, NC_089042.1.g28602, NC_089042.1.g28677, NC_089045.1.g36953, NC_089046.1.g39539			1	0	KM
