Orthogroup	AGIS1.0	BSM	CI	GJ	IN	KM	MPE	PP	cultivar_occupancy	reference_present	private_cultivar
OG0000015	NC_089035.1.g1756, NC_089035.1.g5031, NC_089036.1.g6524, NC_089036.1.g9237, NC_089037.1.g11959, NC_089037.1.g13635, NC_089038.1.g17112, NC_089039.1.g17782, NC_089039.1.g19993, NC_089040.1.g20729, NC_089040.1.g22621, NC_089040.1.g23094, NC_089041.1.g25532, NC_089042.1.g29159, NC_089043.1.g30076, NC_089043.1.g30356, NC_089044.1.g33466, NC_089045.1.g35498, NC_089046.1.g39592			NC_089035.1.g1724, NC_089035.1.g4954, NC_089036.1.g5900, NC_089036.1.g6847, NC_089037.1.g12053, NC_089037.1.g12429, NC_089037.1.g12483, NC_089037.1.g13345, NC_089037.1.g13859, NC_089038.1.g14379, NC_089038.1.g14409, NC_089038.1.g15776, NC_089038.1.g16956, NC_089039.1.g19183, NC_089039.1.g19349, NC_089039.1.g19826, NC_089040.1.g20552, NC_089040.1.g22377, NC_089040.1.g22971, NC_089041.1.g23764, NC_089041.1.g26573, NC_089045.1.g34946, NC_089045.1.g35055			NC_089035.1.g1704, NC_089035.1.g2262, NC_089035.1.g3119, NC_089035.1.g4986, NC_089035.1.g669, NC_089036.1.g5789, NC_089037.1.g12353, NC_089037.1.g13917, NC_089037.1.g9829, NC_089037.1.g9897, NC_089038.1.g14448, NC_089038.1.g14482, NC_089038.1.g14918, NC_089038.1.g15011, NC_089038.1.g15856, NC_089038.1.g16309, NC_089038.1.g17133, NC_089039.1.g17708, NC_089039.1.g19514, NC_089039.1.g19888, NC_089040.1.g20624, NC_089040.1.g22362, NC_089040.1.g22939, NC_089041.1.g25644, NC_089041.1.g26498, NC_089042.1.g29529, NC_089043.1.g30022, NC_089043.1.g30226, NC_089043.1.g31185, NC_089043.1.g31906, NC_089044.1.g32464, NC_089044.1.g33712, NC_089045.1.g35163, NC_089045.1.g35272, NC_089046.1.g38879		2	1	
OG0000043	NC_089043.1.g31005, NC_089043.1.g31006, NC_089043.1.g31007, NC_089043.1.g31008, NC_089043.1.g31009, NC_089043.1.g31010, NC_089043.1.g31011, NC_089043.1.g31012, NC_089043.1.g31013, NC_089043.1.g31014, NC_089043.1.g31015, NC_089043.1.g31016, NC_089043.1.g31017, NC_089043.1.g31018, NC_089043.1.g31019, NC_089043.1.g31020, NC_089043.1.g31021, NC_089043.1.g31022, NC_089043.1.g31023, NC_089043.1.g31024, NC_089043.1.g31025, NC_089043.1.g31026, NC_089043.1.g31027			NC_089043.1.g30584, NC_089043.1.g30585, NC_089043.1.g30586	NC_089043.1.g30958, NC_089043.1.g30959, NC_089043.1.g30960, NC_089043.1.g30961, NC_089043.1.g30962	NC_089043.1.g31270, NC_089043.1.g31271, NC_089043.1.g31272, NC_089043.1.g31273, NC_089043.1.g31274, NC_089043.1.g31275, NC_089043.1.g31276, NC_089043.1.g31277, NC_089043.1.g31278, NC_089043.1.g31279, NC_089043.1.g31280, NC_089043.1.g31281, NC_089043.1.g31282, NC_089043.1.g31283, NC_089043.1.g31284, NC_089043.1.g31285, NC_089043.1.g31286, NC_089043.1.g31287, NC_089043.1.g31288, NC_089043.1.g31289, NC_089043.1.g31585	NC_089043.1.g30761, NC_089043.1.g30762, NC_089043.1.g30763, NC_089043.1.g30764, NC_089043.1.g30765		4	1	
OG0000091	NC_089035.1.g4736, NC_089038.1.g15151, NC_089040.1.g22481, NC_089044.1.g32310, NC_089044.1.g34174, NC_089045.1.g36163	NC_089035.1.g3502, NC_089036.1.g6574, NC_089038.1.g14617, NC_089038.1.g15035, NC_089039.1.g18994, NC_089039.1.g20552, NC_089040.1.g21960, NC_089040.1.g22320, NC_089045.1.g35623, NC_089046.1.g37279	NC_089044.1.g32119, NC_089045.1.g35925, NC_089046.1.g37211	NC_089036.1.g6535, NC_089037.1.g11664, NC_089037.1.g12409, NC_089038.1.g14589, NC_089038.1.g15404, NC_089040.1.g22206, NC_089041.1.g25264, NC_089043.1.g29573, NC_089044.1.g31880, NC_089044.1.g33189, NC_089045.1.g35316, NC_089045.1.g35705, NC_089046.1.g36913	NC_089038.1.g15087, NC_089038.1.g15489, NC_089040.1.g22438, NC_089041.1.g25523, NC_089045.1.g36739, NC_089046.1.g37459			NC_089035.1.g340, NC_089038.1.g15503, NC_089041.1.g26944, NC_089044.1.g32259, NC_089045.1.g36142, NC_089046.1.g37388	5	1	
OG0000097	NC_089036.1.g7144, NC_089037.1.g12334, NC_089038.1.g14469, NC_089038.1.g14957, NC_089043.1.g30379, NC_089043.1.g30946	NC_089036.1.g7111, NC_089037.1.g12258, NC_089038.1.g14362, NC_089038.1.g14859, NC_089042.1.g28329, NC_089043.1.g30232, NC_089043.1.g30810		NC_089036.1.g7057, NC_089038.1.g14333, NC_089038.1.g14821, NC_089040.1.g22739, NC_089042.1.g28097, NC_089043.1.g29965, NC_089043.1.g30527	NC_089035.1.g718, NC_089036.1.g7121, NC_089037.1.g12301, NC_089038.1.g14398, NC_089038.1.g14903, NC_089042.1.g28454, NC_089043.1.g30322, NC_089043.1.g30904		NC_089036.1.g7091, NC_089037.1.g12259, NC_089038.1.g14401, NC_089038.1.g14890, NC_089042.1.g28292, NC_089043.1.g30150, NC_089043.1.g30703	NC_089036.1.g7144, NC_089037.1.g12327, NC_089038.1.g14459, NC_089038.1.g14952, NC_089042.1.g28408, NC_089042.1.g28409, NC_089043.1.g30314, NC_089043.1.g30889	5	1	
OG0000099	NC_089035.1.g1300, NC_089035.1.g1511, NC_089036.1.g5814, NC_089037.1.g11979, NC_089039.1.g18148, NC_089041.1.g24864, NC_089044.1.g32924	NC_089035.1.g1298, NC_089035.1.g1505, NC_089036.1.g5811, NC_089037.1.g11907, NC_089039.1.g17986, NC_089041.1.g24686, NC_089044.1.g32807	NC_089035.1.g1262, NC_089035.1.g1473, NC_089036.1.g5822, NC_089037.1.g11935, NC_089039.1.g18051, NC_089041.1.g24711, NC_089044.1.g32753	NC_089035.1.g1285, NC_089035.1.g1486, NC_089036.1.g5755, NC_089037.1.g11870, NC_089039.1.g17996, NC_089041.1.g24546, NC_089044.1.g32491		NC_089035.1.g1306, NC_089035.1.g1512, NC_089036.1.g5870, NC_089037.1.g12063, NC_089039.1.g18300, NC_089041.1.g25015, NC_089044.1.g33239	NC_089035.1.g1272, NC_089035.1.g1468, NC_089036.1.g5774, NC_089037.1.g11901, NC_089039.1.g18076, NC_089041.1.g24674, NC_089044.1.g32688		5	1	
OG0000101	NC_089037.1.g11830, NC_089041.1.g26774, NC_089041.1.g26847, NC_089042.1.g28451, NC_089044.1.g32268, NC_089044.1.g32775, NC_089045.1.g35430, NC_089045.1.g36001, NC_089045.1.g36834, NC_089046.1.g39064	NC_089035.1.g1926, NC_089035.1.g1946, NC_089041.1.g26622, NC_089041.1.g26697, NC_089042.1.g28285, NC_089044.1.g32100, NC_089044.1.g32654, NC_089045.1.g35296, NC_089045.1.g35848, NC_089045.1.g36678	NC_089035.1.g1907, NC_089035.1.g1927, NC_089037.1.g11786, NC_089041.1.g26616, NC_089041.1.g26693, NC_089042.1.g28301, NC_089044.1.g32080, NC_089044.1.g32597, NC_089045.1.g35220, NC_089045.1.g35774, NC_089045.1.g36600	NC_089041.1.g26418	NC_089035.1.g1935, NC_089041.1.g26737, NC_089041.1.g26802, NC_089042.1.g28414, NC_089044.1.g32230, NC_089044.1.g32782, NC_089045.1.g35453, NC_089045.1.g36019, NC_089045.1.g36865, NC_089046.1.g39117				4	1	
OG0000124	NC_089042.1.g28078, NC_089044.1.g33841, NC_089044.1.g33853, NC_089044.1.g33854, NC_089044.1.g33856, NC_089044.1.g33877, NC_089044.1.g33895			NC_089042.1.g27722, NC_089044.1.g33414, NC_089044.1.g33425, NC_089044.1.g33426, NC_089044.1.g33428, NC_089044.1.g33445, NC_089044.1.g33463	NC_089042.1.g28038, NC_089044.1.g33854, NC_089044.1.g33869, NC_089044.1.g33870, NC_089044.1.g33872, NC_089044.1.g33907	NC_089042.1.g28285, NC_089044.1.g34174, NC_089044.1.g34186, NC_089044.1.g34187, NC_089044.1.g34188, NC_089044.1.g34190, NC_089044.1.g34227	NC_089042.1.g27895, NC_089044.1.g33611, NC_089044.1.g33624, NC_089044.1.g33625, NC_089044.1.g33626, NC_089044.1.g33628, NC_089044.1.g33664	NC_089042.1.g27986, NC_089044.1.g33822, NC_089044.1.g33836, NC_089044.1.g33837, NC_089044.1.g33839, NC_089044.1.g33875	5	1	
OG0000145	NC_089035.1.g4022, NC_089041.1.g25986, NC_089043.1.g31270, NC_089044.1.g32841, NC_089045.1.g35144, NC_089046.1.g38043			NC_089035.1.g3956, NC_089041.1.g25640, NC_089043.1.g30825, NC_089044.1.g32405, NC_089045.1.g34695, NC_089046.1.g37495	NC_089035.1.g3997, NC_089041.1.g25952, NC_089043.1.g31212, NC_089044.1.g32843, NC_089045.1.g35136, NC_089046.1.g38069	NC_089035.1.g4064, NC_089041.1.g26157, NC_089043.1.g31531, NC_089044.1.g33151, NC_089045.1.g35465, NC_089046.1.g38412	NC_089035.1.g3972, NC_089037.1.g11196, NC_089041.1.g25792, NC_089043.1.g31013, NC_089044.1.g32602, NC_089045.1.g34904, NC_089046.1.g37774	NC_089035.1.g3985, NC_089041.1.g25878, NC_089043.1.g31183, NC_089044.1.g32799, NC_089045.1.g35123, NC_089046.1.g37987	5	1	
OG0000154	NC_089038.1.g14943, NC_089038.1.g14944, NC_089038.1.g14945, NC_089038.1.g14993, NC_089038.1.g14996, NC_089038.1.g14997	NC_089038.1.g14844, NC_089038.1.g14845, NC_089038.1.g14846, NC_089038.1.g14896, NC_089038.1.g14899, NC_089038.1.g14900	NC_089038.1.g14867, NC_089038.1.g14868, NC_089038.1.g14869, NC_089038.1.g14917, NC_089038.1.g14920, NC_089038.1.g14921	NC_089038.1.g14808, NC_089038.1.g14809, NC_089038.1.g14810, NC_089038.1.g14859, NC_089038.1.g14862, NC_089038.1.g14863	NC_089038.1.g14884, NC_089038.1.g14885, NC_089038.1.g14886, NC_089038.1.g14940, NC_089038.1.g14943, NC_089038.1.g14944			NC_089038.1.g14937, NC_089038.1.g14938, NC_089038.1.g14939, NC_089038.1.g14989, NC_089038.1.g14992, NC_089038.1.g14993	5	1	
OG0000164		NC_089035.1.g1227, NC_089035.1.g695, NC_089036.1.g8834, NC_089036.1.g8969, NC_089036.1.g8970, NC_089037.1.g12144, NC_089037.1.g12351, NC_089037.1.g13142, NC_089037.1.g9965, NC_089038.1.g14413, NC_089038.1.g14447, NC_089038.1.g14602, NC_089038.1.g15522, NC_089038.1.g16326, NC_089039.1.g17616, NC_089039.1.g19837, NC_089040.1.g20591, NC_089040.1.g22356, NC_089040.1.g22924, NC_089041.1.g25668, NC_089042.1.g28115, NC_089042.1.g28345, NC_089042.1.g29583, NC_089043.1.g30095, NC_089043.1.g31275, NC_089043.1.g31989, NC_089044.1.g32732, NC_089044.1.g33354, NC_089045.1.g35361, NC_089045.1.g36202, NC_089045.1.g36203		NC_089038.1.g16354, NC_089039.1.g17634, NC_089039.1.g19350, NC_089039.1.g19404					2	0	
