cultivar	orthogroup	gene_count	gene_ids	reference_present
BSM	OG0000685	20	NC_089035.1.g1226, NC_089035.1.g3233, NC_089035.1.g3621, NC_089035.1.g4356, NC_089036.1.g8967, NC_089038.1.g14412, NC_089038.1.g14448, NC_089038.1.g15476, NC_089039.1.g17615, NC_089039.1.g17840, NC_089039.1.g17979, NC_089039.1.g18489, NC_089040.1.g22355, NC_089041.1.g25666, NC_089041.1.g25890, NC_089041.1.g26381, NC_089042.1.g28988, NC_089043.1.g30094, NC_089044.1.g33353, NC_089045.1.g35359	0
BSM	OG0000731	1	NC_089035.1.g3074	1
BSM	OG0000933	6	NC_089035.1.g1418, NC_089035.1.g2158, NC_089035.1.g2162, NC_089035.1.g3242, NC_089035.1.g3244, NC_089035.1.g3249	1
BSM	OG0003329	10	NC_089036.1.g6798, NC_089036.1.g7739, NC_089037.1.g11250, NC_089037.1.g11252, NC_089039.1.g17915, NC_089039.1.g18390, NC_089043.1.g30137, NC_089044.1.g32737, NC_089046.1.g37873, NC_089046.1.g38395	0
BSM	OG0028622	3	NC_089036.1.g9325, NC_089036.1.g9329, NC_089036.1.g9340	1
BSM	OG0032213	2	NC_089035.1.g3920, NC_089036.1.g6109	1
BSM	OG0033234	5	NC_089036.1.g6797, NC_089037.1.g11249, NC_089039.1.g17916, NC_089039.1.g18389, NC_089041.1.g24982	0
BSM	OG0034732	2	NC_089044.1.g32619, NC_089044.1.g32621	1
BSM	OG0036679	2	NC_089042.1.g29553, NC_089043.1.g30537	1
BSM	OG0036970	3	NC_089035.1.g2198, NC_089040.1.g21476, NC_089041.1.g24878	0
BSM	OG0038285	1	NC_089035.1.g109	1
BSM	OG0038291	1	NC_089035.1.g360	1
BSM	OG0038297	1	NC_089035.1.g953	1
BSM	OG0038332	1	NC_089035.1.g2742	1
BSM	OG0038338	1	NC_089035.1.g2945	1
BSM	OG0038345	1	NC_089035.1.g3337	1
BSM	OG0038350	1	NC_089035.1.g3515	1
BSM	OG0038354	1	NC_089035.1.g3921	1
BSM	OG0038359	1	NC_089035.1.g4347	1
BSM	OG0038374	1	NC_089036.1.g6228	1
BSM	OG0038383	1	NC_089036.1.g6814	1
BSM	OG0038384	1	NC_089036.1.g6815	1
BSM	OG0038406	1	NC_089036.1.g8633	1
BSM	OG0038414	1	NC_089036.1.g9091	1
BSM	OG0038416	1	NC_089036.1.g9332	1
BSM	OG0038417	1	NC_089036.1.g9333	1
BSM	OG0038448	1	NC_089037.1.g11188	1
BSM	OG0038465	1	NC_089037.1.g12267	1
BSM	OG0038466	1	NC_089037.1.g12282	1
BSM	OG0038473	1	NC_089037.1.g12795	1
BSM	OG0038478	1	NC_089037.1.g13433	1
BSM	OG0038485	1	NC_089038.1.g14064	1
BSM	OG0038492	1	NC_089038.1.g14179	1
BSM	OG0038515	1	NC_089038.1.g15400	1
BSM	OG0038524	1	NC_089038.1.g16479	1
BSM	OG0038530	1	NC_089039.1.g17671	1
BSM	OG0038554	1	NC_089039.1.g18583	1
BSM	OG0038555	1	NC_089039.1.g18584	1
BSM	OG0038560	1	NC_089039.1.g18683	1
BSM	OG0038562	1	NC_089039.1.g18686	1
BSM	OG0038564	1	NC_089039.1.g18789	1
BSM	OG0038586	1	NC_089040.1.g20698	1
BSM	OG0038595	1	NC_089040.1.g21539	1
BSM	OG0038599	1	NC_089040.1.g21739	1
BSM	OG0038612	1	NC_089040.1.g22210	1
BSM	OG0038627	1	NC_089040.1.g22474	1
BSM	OG0038630	1	NC_089040.1.g22691	1
BSM	OG0038640	1	NC_089040.1.g23271	1
BSM	OG0038642	1	NC_089040.1.g23331	1
BSM	OG0038663	1	NC_089035.1.g4493	1
BSM	OG0038669	1	NC_089045.1.g36295	1
BSM	OG0038678	1	NC_089041.1.g25474	1
BSM	OG0038682	1	NC_089041.1.g25663	1
BSM	OG0038717	1	NC_089042.1.g27972	1
BSM	OG0038718	1	NC_089042.1.g27973	1
BSM	OG0038721	1	NC_089042.1.g28166	1
BSM	OG0038725	1	NC_089042.1.g28327	1
BSM	OG0038731	1	NC_089042.1.g28496	1
BSM	OG0038759	1	NC_089043.1.g30300	1
BSM	OG0038761	1	NC_089043.1.g30312	1
BSM	OG0038765	1	NC_089043.1.g30440	1
BSM	OG0038766	1	NC_089043.1.g30478	1
BSM	OG0038773	1	NC_089035.1.g5075	1
BSM	OG0038774	1	NC_089043.1.g30934	1
BSM	OG0038788	1	NC_089039.1.g18799	1
BSM	OG0038790	1	NC_089044.1.g32071	1
BSM	OG0038802	1	NC_089044.1.g32428	1
BSM	OG0038803	1	NC_089044.1.g32429	1
BSM	OG0038804	1	NC_089044.1.g32466	1
BSM	OG0038807	1	NC_089044.1.g32660	1
BSM	OG0038809	1	NC_089044.1.g32811	1
BSM	OG0038860	1	NC_089045.1.g36300	1
BSM	OG0038863	1	NC_089045.1.g36545	1
BSM	OG0038882	1	NC_089046.1.g37740	1
BSM	OG0038893	1	NC_089046.1.g38046	1
BSM	OG0038912	1	NC_089046.1.g38474	1
BSM	OG0038941	2	NC_089035.1.g1492, NC_089040.1.g21922	0
BSM	OG0039030	2	NC_089037.1.g10794, NC_089044.1.g34083	0
BSM	OG0039079	2	NC_089038.1.g14614, NC_089043.1.g31779	0
BSM	OG0039095	2	NC_089038.1.g15170, NC_089045.1.g36907	0
BSM	OG0039105	2	NC_089038.1.g16159, NC_089041.1.g26489	0
